order_id,order_status,delivery_person_id,created_at_eet,received_at_eet,started_at_eet,arrived_at_eet,delivered_at_eet,,,
6785158,completed,378483,10/1/2022 20:02,10/1/2022 20:45,10/1/2022 20:50,10/1/2022 20:54,10/1/2022 20:56,,XLOOKUP,
6772097,completed,287306,10/1/2022 1:37,10/1/2022 1:44,10/1/2022 1:44,10/1/2022 1:45,10/1/2022 1:46,,order_id,6779525
6772445,completed,438128,10/1/2022 4:09,10/1/2022 4:16,10/1/2022 4:25,10/1/2022 4:30,10/1/2022 4:31,,delivery_person_id,548763
6771722,completed,444472,10/1/2022 0:19,10/1/2022 0:24,10/1/2022 0:24,10/1/2022 0:28,10/1/2022 0:34,,,
6772199,completed,438128,10/1/2022 2:09,10/1/2022 2:18,10/1/2022 2:19,10/1/2022 2:21,10/1/2022 2:27,,,
6771713,completed,441743,10/1/2022 0:18,10/1/2022 0:24,10/1/2022 0:24,10/1/2022 0:25,10/1/2022 0:28,,,
6773249,completed,438128,10/1/2022 7:56,10/1/2022 8:03,10/1/2022 8:03,10/1/2022 8:10,10/1/2022 8:16,,VLOOKUP,
6776683,completed,379785,10/1/2022 11:38,10/1/2022 11:47,10/1/2022 12:03,10/1/2022 12:07,10/1/2022 12:09,,order_id,6778414
6779525,completed,548763,10/1/2022 14:04,10/1/2022 14:18,10/1/2022 14:48,10/1/2022 14:56,10/1/2022 14:56,,delivery_person_id,379779
6775766,completed,548763,10/1/2022 10:55,10/1/2022 11:09,10/1/2022 11:11,10/1/2022 11:18,10/1/2022 11:21,,,
6776614,completed,379785,10/1/2022 11:34,10/1/2022 11:47,10/1/2022 11:52,10/1/2022 11:59,10/1/2022 12:02,,,
6778414,completed,379779,10/1/2022 13:05,10/1/2022 13:25,10/1/2022 13:25,10/1/2022 13:26,10/1/2022 13:30,,,
6774285,completed,364676,10/1/2022 9:33,10/1/2022 9:39,10/1/2022 9:39,10/1/2022 9:53,10/1/2022 9:55,,,
6776176,completed,379770,10/1/2022 11:15,10/1/2022 11:23,10/1/2022 11:27,10/1/2022 11:31,10/1/2022 11:37,,,
6776286,completed,379785,10/1/2022 11:19,10/1/2022 11:27,10/1/2022 11:28,10/1/2022 11:35,10/1/2022 11:39,,,
6776109,completed,379770,10/1/2022 11:12,10/1/2022 11:24,10/1/2022 11:39,10/1/2022 11:39,10/1/2022 11:44,,,
6778943,completed,402571,10/1/2022 13:35,10/1/2022 13:49,10/1/2022 14:03,10/1/2022 14:13,10/1/2022 14:18,,,
6774535,completed,379770,10/1/2022 9:48,10/1/2022 9:56,10/1/2022 10:09,10/1/2022 10:11,10/1/2022 10:14,,,
6778942,completed,379770,10/1/2022 13:35,10/1/2022 14:00,10/1/2022 14:07,10/1/2022 14:13,10/1/2022 14:17,,,
6774602,completed,379770,10/1/2022 9:52,10/1/2022 10:09,10/1/2022 10:15,10/1/2022 10:19,10/1/2022 10:21,,,
6778343,completed,402571,10/1/2022 13:02,10/1/2022 13:42,10/1/2022 13:50,10/1/2022 13:58,10/1/2022 14:03,,,
6777200,completed,379779,10/1/2022 12:03,10/1/2022 12:27,10/1/2022 12:28,10/1/2022 12:30,10/1/2022 12:32,,,
6778469,completed,379770,10/1/2022 13:07,10/1/2022 13:29,10/1/2022 13:29,10/1/2022 13:35,10/1/2022 13:37,,,
6774702,completed,402571,10/1/2022 9:58,10/1/2022 10:04,10/1/2022 10:05,10/1/2022 10:13,10/1/2022 10:15,,,
6776756,completed,379785,10/1/2022 11:42,10/1/2022 11:51,10/1/2022 12:10,10/1/2022 12:13,10/1/2022 12:15,,,
6776534,completed,548763,10/1/2022 11:30,10/1/2022 11:34,10/1/2022 11:44,10/1/2022 11:50,10/1/2022 11:53,,,
6777768,completed,354690,10/1/2022 12:30,10/1/2022 12:53,10/1/2022 13:02,10/1/2022 13:14,10/1/2022 13:15,,,
6778516,completed,379770,10/1/2022 13:10,10/1/2022 13:28,10/1/2022 13:37,10/1/2022 13:41,10/1/2022 13:46,,,
6777210,completed,379779,10/1/2022 12:04,10/1/2022 12:29,10/1/2022 12:32,10/1/2022 12:36,10/1/2022 12:38,,,
6779799,completed,379785,10/1/2022 14:20,10/1/2022 14:38,10/1/2022 14:39,10/1/2022 14:47,10/1/2022 14:53,,,
6773482,completed,364676,10/1/2022 8:25,10/1/2022 8:34,10/1/2022 8:34,10/1/2022 8:41,10/1/2022 8:48,,,
6772663,completed,364676,10/1/2022 6:43,10/1/2022 9:46,10/1/2022 9:58,10/1/2022 10:00,10/1/2022 10:01,,,
6775894,completed,548763,10/1/2022 11:01,10/1/2022 11:10,10/1/2022 11:21,10/1/2022 11:26,10/1/2022 11:31,,,
6772955,completed,438128,10/1/2022 7:18,10/1/2022 7:25,10/1/2022 7:25,10/1/2022 7:28,10/1/2022 7:31,,,
6779431,completed,379779,10/1/2022 14:00,10/1/2022 14:15,10/1/2022 14:20,10/1/2022 14:27,10/1/2022 14:31,,,
6779104,completed,364676,10/1/2022 13:43,10/1/2022 14:11,10/1/2022 14:44,10/1/2022 14:47,10/1/2022 14:50,,,
6774065,completed,354690,10/1/2022 9:16,10/1/2022 9:23,10/1/2022 9:33,10/1/2022 9:39,10/1/2022 9:41,,,
6773369,completed,379770,10/1/2022 8:11,10/1/2022 8:18,10/1/2022 8:19,10/1/2022 8:23,10/1/2022 8:28,,,
6780011,completed,364676,10/1/2022 14:31,10/1/2022 14:51,10/1/2022 14:51,10/1/2022 14:54,10/1/2022 15:00,,,
6778226,completed,379779,10/1/2022 12:56,10/1/2022 13:17,10/1/2022 13:30,10/1/2022 13:37,10/1/2022 13:41,,,
6777003,completed,364676,10/1/2022 11:54,10/1/2022 12:18,10/1/2022 12:25,10/1/2022 12:28,10/1/2022 12:28,,,
6776220,completed,379785,10/1/2022 11:16,10/1/2022 11:27,10/1/2022 11:39,10/1/2022 11:43,10/1/2022 11:45,,,
6779524,completed,379785,10/1/2022 14:04,10/1/2022 14:19,10/1/2022 14:53,10/1/2022 14:58,10/1/2022 15:01,,,
6774153,completed,548763,10/1/2022 9:23,10/1/2022 9:40,10/1/2022 9:44,10/1/2022 9:48,10/1/2022 9:50,,,
6774005,completed,354690,10/1/2022 9:11,10/1/2022 9:22,10/1/2022 9:24,10/1/2022 9:30,10/1/2022 9:32,,,
6777671,completed,354690,10/1/2022 12:25,10/1/2022 12:51,10/1/2022 13:17,10/1/2022 13:25,10/1/2022 13:25,,,
6777201,completed,364676,10/1/2022 12:03,10/1/2022 12:23,10/1/2022 12:29,10/1/2022 12:36,10/1/2022 12:38,,,
6778019,completed,354690,10/1/2022 12:45,10/1/2022 12:54,10/1/2022 12:55,10/1/2022 12:59,10/1/2022 13:02,,,
6782911,completed,483451,10/1/2022 17:43,10/1/2022 17:59,10/1/2022 17:59,10/1/2022 18:02,10/1/2022 18:05,,,
6783511,completed,330526,10/1/2022 18:26,10/1/2022 18:33,10/1/2022 18:33,10/1/2022 18:46,10/1/2022 18:47,,,
6782349,completed,449971,10/1/2022 17:03,10/1/2022 17:32,10/1/2022 17:32,10/1/2022 17:38,10/1/2022 17:43,,,
6780236,completed,354690,10/1/2022 14:43,10/1/2022 14:56,10/1/2022 14:57,10/1/2022 15:03,10/1/2022 15:06,,,
6786985,completed,483451,10/1/2022 22:12,10/1/2022 22:21,10/1/2022 22:21,10/1/2022 22:36,10/1/2022 22:38,,,
6783738,completed,449971,10/1/2022 18:39,10/1/2022 18:55,10/1/2022 19:07,10/1/2022 19:09,10/1/2022 19:09,,,
6783100,completed,447065,10/1/2022 17:58,10/1/2022 18:14,10/1/2022 18:14,10/1/2022 18:27,10/1/2022 18:29,,,
6785649,completed,441743,10/1/2022 20:33,10/1/2022 21:00,10/1/2022 21:00,10/1/2022 21:06,10/1/2022 21:10,,,
6787167,completed,449971,10/1/2022 22:19,10/1/2022 22:41,10/1/2022 22:54,10/1/2022 22:57,10/1/2022 22:57,,,
6786555,completed,447065,10/1/2022 21:37,10/1/2022 21:58,10/1/2022 22:04,10/1/2022 22:06,10/1/2022 22:06,,,
6783626,completed,330526,10/1/2022 18:33,10/1/2022 18:42,10/1/2022 18:50,10/1/2022 18:55,10/1/2022 18:59,,,
6786183,completed,449971,10/1/2022 21:08,10/1/2022 21:19,10/1/2022 21:31,10/1/2022 21:37,10/1/2022 21:40,,,
6787156,completed,449971,10/1/2022 22:18,10/1/2022 22:41,10/1/2022 22:52,10/1/2022 22:52,10/1/2022 22:53,,,
6785405,completed,447065,10/1/2022 20:17,10/1/2022 20:38,10/1/2022 20:38,10/1/2022 20:46,10/1/2022 20:47,,,
6781886,completed,449971,10/1/2022 16:29,10/1/2022 16:37,10/1/2022 16:37,10/1/2022 16:44,10/1/2022 16:46,,,
6784221,completed,483451,10/1/2022 19:09,10/1/2022 19:29,10/1/2022 19:30,10/1/2022 19:37,10/1/2022 19:39,,,
6784054,completed,378483,10/1/2022 18:58,10/1/2022 19:06,10/1/2022 19:06,10/1/2022 19:09,10/1/2022 19:11,,,
6785222,completed,483451,10/1/2022 20:06,10/1/2022 20:26,10/1/2022 20:34,10/1/2022 20:38,10/1/2022 20:41,,,
6783814,completed,447065,10/1/2022 18:44,10/1/2022 18:51,10/1/2022 19:04,10/1/2022 19:04,10/1/2022 19:04,,,
6786299,completed,330526,10/1/2022 21:17,10/1/2022 21:33,10/1/2022 21:44,10/1/2022 22:00,10/1/2022 22:02,,,
6784116,completed,441743,10/1/2022 19:02,10/1/2022 19:20,10/1/2022 19:31,10/1/2022 19:35,10/1/2022 19:38,,,
6780210,completed,354690,10/1/2022 14:42,10/1/2022 14:51,10/1/2022 15:07,10/1/2022 15:16,10/1/2022 15:45,,,
6785644,completed,483451,10/1/2022 20:33,10/1/2022 20:54,10/1/2022 20:55,10/1/2022 21:02,10/1/2022 21:09,,,
6786000,completed,441743,10/1/2022 20:57,10/1/2022 21:34,10/1/2022 21:34,10/1/2022 21:40,10/1/2022 21:46,,,
6784852,completed,449971,10/1/2022 19:46,10/1/2022 19:54,10/1/2022 19:54,10/1/2022 20:06,10/1/2022 20:08,,,
6784505,completed,483451,10/1/2022 19:25,10/1/2022 19:31,10/1/2022 19:52,10/1/2022 19:53,10/1/2022 19:53,,,
6783706,completed,447065,10/1/2022 18:38,10/1/2022 18:49,10/1/2022 19:05,10/1/2022 19:08,10/1/2022 19:10,,,
6782587,completed,449971,10/1/2022 17:19,10/1/2022 17:32,10/1/2022 17:44,10/1/2022 17:48,10/1/2022 17:49,,,
6785346,completed,447065,10/1/2022 20:14,10/1/2022 20:39,10/1/2022 20:47,10/1/2022 20:54,10/1/2022 20:56,,,
6785061,completed,483451,10/1/2022 19:58,10/1/2022 20:25,10/1/2022 20:41,10/1/2022 20:45,10/1/2022 20:47,,,
6784630,completed,378483,10/1/2022 19:32,10/1/2022 19:38,10/1/2022 19:43,10/1/2022 19:49,10/1/2022 19:51,,,
6786907,completed,483451,10/1/2022 22:02,10/1/2022 22:21,10/1/2022 22:22,10/1/2022 22:25,10/1/2022 22:27,,,
6783289,completed,447065,10/1/2022 18:12,10/1/2022 18:20,10/1/2022 18:29,10/1/2022 18:36,10/1/2022 18:41,,,
6787183,not-received,449971,10/1/2022 22:20,10/1/2022 22:41,10/1/2022 22:42,10/1/2022 22:48,,,,
6783255,completed,449971,10/1/2022 18:09,10/1/2022 18:28,10/1/2022 18:29,10/1/2022 18:44,10/1/2022 18:45,,,
6783711,completed,449971,10/1/2022 18:38,10/1/2022 18:55,10/1/2022 18:56,10/1/2022 19:04,10/1/2022 19:07,,,
6784275,completed,483451,10/1/2022 19:12,10/1/2022 19:29,10/1/2022 19:40,10/1/2022 19:50,10/1/2022 19:52,,,
6783696,completed,447065,10/1/2022 18:37,10/1/2022 18:49,10/1/2022 18:49,10/1/2022 18:58,10/1/2022 19:03,,,
6780922,completed,402571,10/1/2022 15:25,10/1/2022 15:44,10/1/2022 15:56,10/1/2022 16:03,10/1/2022 16:07,,,
6773291,completed,449971,10/1/2022 8:03,10/1/2022 16:55,10/1/2022 16:55,10/1/2022 17:02,10/1/2022 17:08,,,
6785761,completed,441743,10/1/2022 20:40,10/1/2022 21:00,10/1/2022 21:10,10/1/2022 21:15,10/1/2022 21:20,,,
6782065,completed,483451,10/1/2022 16:42,10/1/2022 17:03,10/1/2022 17:07,10/1/2022 17:10,10/1/2022 17:12,,,
6785990,completed,449971,10/1/2022 20:56,10/1/2022 21:24,10/1/2022 21:24,10/1/2022 21:29,10/1/2022 21:31,,,
6779737,completed,379785,10/1/2022 14:16,10/1/2022 14:23,10/1/2022 15:02,10/1/2022 15:05,10/1/2022 15:06,,,
6784096,completed,441743,10/1/2022 19:01,10/1/2022 19:22,10/1/2022 19:23,10/1/2022 19:28,10/1/2022 19:29,,,
6780932,completed,402571,10/1/2022 15:26,10/1/2022 15:38,10/1/2022 15:47,10/1/2022 15:49,10/1/2022 15:56,,,
6785592,completed,483451,10/1/2022 20:29,10/1/2022 20:53,10/1/2022 21:09,10/1/2022 21:11,10/1/2022 21:13,,,
6780141,completed,379779,10/1/2022 14:38,10/1/2022 14:42,10/1/2022 15:01,10/1/2022 15:09,10/1/2022 15:17,,,
6784976,completed,378483,10/1/2022 19:53,10/1/2022 20:01,10/1/2022 20:01,10/1/2022 20:11,10/1/2022 20:11,,,
6786520,completed,447065,10/1/2022 21:35,10/1/2022 21:51,10/1/2022 21:52,10/1/2022 22:02,10/1/2022 22:03,,,
6787672,completed,449971,10/1/2022 22:57,10/1/2022 23:05,10/1/2022 23:12,10/1/2022 23:20,10/1/2022 23:26,,,
6788133,completed,447065,10/1/2022 23:39,10/1/2022 23:47,10/1/2022 23:57,10/1/2022 23:59,10/2/2022 0:03,,,
6787894,completed,447065,10/1/2022 23:15,10/1/2022 23:24,10/1/2022 23:24,10/1/2022 23:29,10/1/2022 23:31,,,
6788179,completed,378483,10/1/2022 23:46,10/1/2022 23:51,10/1/2022 23:51,10/1/2022 23:59,10/2/2022 0:02,,,
6787710,completed,449971,10/1/2022 23:01,10/1/2022 23:04,10/1/2022 23:06,10/1/2022 23:09,10/1/2022 23:12,,,
6788077,completed,447065,10/1/2022 23:33,10/1/2022 23:46,10/1/2022 23:47,10/1/2022 23:53,10/1/2022 23:57,,,
6771662,completed,379770,10/1/2022 0:09,10/2/2022 9:37,10/2/2022 10:15,10/2/2022 10:15,10/2/2022 10:20,,,
6775813,cancelled,402571,10/1/2022 10:57,,,,,,,
6772013,completed,287306,10/1/2022 1:11,10/1/2022 1:19,10/1/2022 1:26,10/1/2022 1:34,10/1/2022 1:34,,,
6771955,completed,438128,10/1/2022 0:57,10/1/2022 1:02,10/1/2022 1:02,10/1/2022 1:06,10/1/2022 1:09,,,
6772446,completed,438128,10/1/2022 4:09,10/1/2022 4:16,10/1/2022 4:16,10/1/2022 4:22,10/1/2022 4:25,,,
6771669,completed,447065,10/1/2022 0:10,10/1/2022 0:16,10/1/2022 0:16,10/1/2022 0:23,10/1/2022 0:25,,,
6772243,completed,287306,10/1/2022 2:22,10/1/2022 2:38,10/1/2022 2:39,10/1/2022 2:41,10/1/2022 2:42,,,
6775665,completed,402571,10/1/2022 10:50,10/1/2022 11:05,10/1/2022 11:10,10/1/2022 11:15,10/1/2022 11:22,,,
6774959,completed,548763,10/1/2022 10:12,10/1/2022 10:25,10/1/2022 10:25,10/1/2022 10:28,10/1/2022 10:33,,,
6778705,completed,354690,10/1/2022 13:21,10/1/2022 13:38,10/1/2022 13:38,10/1/2022 13:43,10/1/2022 13:45,,,
6778588,completed,354690,10/1/2022 13:14,10/1/2022 13:38,10/1/2022 13:45,10/1/2022 13:52,10/1/2022 13:54,,,
6778777,completed,379785,10/1/2022 13:25,10/1/2022 13:38,10/1/2022 13:43,10/1/2022 13:45,10/1/2022 13:47,,,
6774579,completed,354690,10/1/2022 9:51,10/1/2022 9:54,10/1/2022 9:54,10/1/2022 9:59,10/1/2022 10:00,,,
6773603,completed,379770,10/1/2022 8:36,10/1/2022 8:40,10/1/2022 8:40,10/1/2022 8:43,10/1/2022 8:44,,,
6776560,completed,354690,10/1/2022 11:31,10/1/2022 11:40,10/1/2022 11:48,10/1/2022 11:53,10/1/2022 11:56,,,
6776561,completed,354690,10/1/2022 11:31,10/1/2022 11:40,10/1/2022 11:40,10/1/2022 11:45,10/1/2022 11:48,,,
6774533,completed,379779,10/1/2022 9:48,10/1/2022 9:52,10/1/2022 9:52,10/1/2022 9:52,10/1/2022 9:55,,,
6779767,completed,379779,10/1/2022 14:18,10/1/2022 14:25,10/1/2022 14:50,10/1/2022 14:53,10/1/2022 14:56,,,
6779034,completed,402571,10/1/2022 13:39,10/1/2022 14:02,10/1/2022 14:31,10/1/2022 14:42,10/1/2022 14:52,,,
6773746,completed,364676,10/1/2022 8:48,10/1/2022 10:49,10/1/2022 10:51,10/1/2022 10:55,10/1/2022 11:01,,,
6777785,completed,379785,10/1/2022 12:31,10/1/2022 13:01,10/1/2022 13:12,10/1/2022 13:15,10/1/2022 13:20,,,
